"lat","lng","program","agency","address","phone"
"43.6362","-79.4349","EarlyON @ Queen Victoria Jr Public School","Toronto District School Board","100 Close Ave","416-393-9200"
"43.7862","-79.4525","EarlyON @ Rockford Public School","Toronto District School Board","60 Rockford Rd","416-395-2820"
"43.6738","-79.3233","EarlyON @ Roden Jr Public School","Toronto District School Board","151 Hiawatha Rd","416-393-9555"
"43.6701","-79.3727","EarlyON @ Rose Avenue Jr Public School","Toronto District School Board","675 Ontario St","416-393-1260"
"43.6812","-79.4993","EarlyON @ Roseland Jr Public School","Toronto District School Board","990 Jane St","416-394-3110"
"43.7647","-79.322","EarlyON @ Roywood","Toronto District School Board","11 Roywood Dr","416-395-2830"
"43.6512","-79.4028","EarlyON @ Ryerson Community School","Toronto District School Board","96 Denison Ave","416-393-1340"
"43.6923","-79.302","EarlyON @ Secord Es","Toronto District School Board","101 Barrington Ave","416-396-2450"
"43.7454","-79.4885","EarlyON @ Sheppard","Toronto District School Board","1430 Sheppard Ave W","416-395-2860"
"43.6485","-79.4369","EarlyON @ Shirley Street Jr Public School","Toronto District School Board","38 Shirley St","416-393-9270"
"43.7687","-79.5176","EarlyON @ Shoreham","Toronto District School Board","31 Shoreham Dr","416-395-2870"
"43.6872","-79.4696","EarlyON @ Silverthorn Community School","Toronto District School Board","300 Kane Ave","416-394-3033 x 20112"
"43.6644","-79.364","EarlyON @ Sprucecourt Jr Public School","Toronto District School Board","70 Spruce St","416-393-1522"
"43.7973","-79.3096","EarlyON @ St. Aidan","Toronto Catholic District School Board","3521 Finch Ave E","416-393-5350"
"43.7436","-79.2616","EarlyON @ St. Albert","Toronto Catholic District School Board","1125 Midland Ave","416-393-5335"
"43.7544","-79.5971","EarlyON @ St. Angela","Toronto Catholic District School Board","220 Mount Olive Dr","416-393-5361"
"43.6636","-79.4352","EarlyON @ St. Anthony","Toronto Catholic District School Board","130 Shanly St","416-393-5210"
"43.7623","-79.219","EarlyON @ St. Barbara","Toronto Catholic District School Board","25 Janray Dr","416-393-5274"
"43.7972","-79.2287","EarlyON @ St. Barnabas","Toronto Catholic District School Board","30 Washburn Way","416-393-5351"
"43.7625","-79.5183","EarlyON @ St. Charles Garnier","Toronto Catholic District School Board","20 Stong Crt","416-393-5363"
"43.8061","-79.212","EarlyON @ St. Columba","Toronto Catholic District School Board","10 John Tabor Trail","416-393-5380"
"43.7314","-79.5919","EarlyON @ St. Dorothy","Toronto Catholic District School Board","155 John Garland Blvd","416-393-5341"
"43.7541","-79.5193","EarlyON @ St. Francis De Sales","Toronto Catholic District School Board","333 Firgrove Cres","416-393-5366"
"43.652","-79.4364","EarlyON @ St. Helen","Toronto Catholic District School Board","1196 College St","416-393-5208"
"43.6142","-79.4965","EarlyON @ St. Leo","Toronto Catholic District School Board","165 Stanley Ave","416-393-5333"
"43.7682","-79.1961","EarlyON @ St. Margaret's Public School","Toronto District School Board","235 Galloway Rd","416-396-6550"
"43.8082","-79.2853","EarlyON @ St. Marguerite Bourgeoys","Toronto Catholic District School Board","75 Alexmuir Blvd","416-393-5381"
"43.7574","-79.2408","EarlyON @ St. Rose of Lima","Toronto Catholic District School Board","3220 Lawrence Ave E","416-393-5269"
"43.7599","-79.5027","EarlyON @ St. Wilfrid","Toronto Catholic District School Board","1685 Finch Ave W","416-393-5313"
"43.7","-79.2775","EarlyON @ Taylor Creek Public School","Toronto District School Board","644 Warden Ave","416-396-6625"
"43.7222","-79.5523","EarlyON @ The Elms Public School","Toronto District School Board","45 Golfdown Dr","416-394-7900"
"43.5979","-79.5201","EarlyON @ Twentieth Street Public School","Toronto District School Board","3190 Lake Shore Blvd W","416-394-7810"
"43.6508","-79.5605","EarlyON @ West Glen","Toronto District School Board","47 Cowley Ave","416-394-7160"
"43.7401","-79.3039","EarlyON @ Wexford Public School","Toronto District School Board","1050 Pharmacy Ave","416-396-6640"
"43.7869","-79.2483","EarlyON @ White Haven Public School","Toronto District School Board","105 Invergordon Ave","416-396-6645"
"43.7611","-79.2098","EarlyON @ Willow Park Jr Public School","Toronto District School Board","45 Windover Dr","416-396-6665"
"43.7684","-79.4609","EarlyON @ Wilmington","Toronto District School Board","330 Wilmington Ave","416-395-2181"
"43.7794","-79.2272","EarlyON @ Woburn Jr","Toronto District School Board","40 Dormington Dr","416-396-6670"
"43.7506","-79.5141","EarlyON @ Yorkwoods Public School","Toronto District School Board","25 Yorkwoods Gate","416-395-2990"
"43.6625","-79.4603","EarlyON @ indian Road Crescent Jr","Toronto District School Board","285 Indian Road Cres","416-393-9025"
"43.6665","-79.3811","EarlyON Child and Family Centre - 519 Community Centre","EYET Early Learning Centre - Annie's Place","519 Church St","416-686-3390"
"43.7026","-79.2982","EarlyON Child and Family Centre - Gower Park Place","EYET Early Learning Centre - Annie's Place","10 Gower St","416-686-3390"
"43.6677","-79.3747","EarlyON Child and Family Centre - James Town Library","EYET Early Learning Centre - Annie's Place","495 Sherbourne St","416-686-3390"
"43.6657","-79.467","EarlyON Child and Family Centre - Main Site","Earlscourt-Creche Child Development Institute","2918 Dundas St W","416-762-3700"
"43.6618","-79.3682","EarlyON Child and Family Centre - Parliament Library","EYET Early Learning Centre - Annie's Place","269 Gerrard St E","416-686-3390"
"43.6605","-79.3717","EarlyON Child and Family Centre - Robertson House","EYET Early Learning Centre - Annie's Place","291 Sherbourne St","416-686-3390"
"43.6636","-79.385","EarlyON Child and Family Centre - Toronto Centre Rosedale Ymca","EYET Early Learning Centre - Annie's Place","15 Breadalbane St","416-686-3390"
"43.6565","-79.3725","EarlyON Child and Family Centre @ Ecole Elementaire Gabrielle-Roy","Conseil Scolaire -Viamonde","14 Pembroke St","905-732-4280"
"43.6911","-79.2876","EarlyON Child and Family Centre Beaches East York","EYET Early Learning Centre - Annie's Place","3079 Danforth Ave","416-686-3390"
"43.7017","-79.4542","EarlyON Main Site @ 2700 Dufferin","Macaulay Child Development Centre","2700 Dufferin St","416-783-7298"
"43.681","-79.4703","EarlyON Main Site @ 48 Regent","Macaulay Child Development Centre","48 Regent St","416-653-3270"
"43.7189","-79.4302","EarlyON Satellite @ 505 Lawrence","Macaulay Child Development Centre","505 Lawrence Ave W","416-783-7298"
"43.7164","-79.5054","EarlyON Satellite Site @ Falstaff","Macaulay Child Development Centre","30 Falstaff Ave","416-653-3270"
"43.7693","-79.1849","East Scarborough Boys and Girls Club - Main Site","East Scarborough Boys' and Girls' Club","4218 Lawrence Ave E","416-282-7284"
"43.675","-79.3401","East Toronto Family Community Centre","East Toronto Family Community Centre","86 Blake St","416-392-1750"
"43.6565","-79.4676","Family Fun Satellite","Earlscourt-Creche Child Development Institute","100 High Park Ave","416-762-3700"
"43.6842","-79.3008","Family Resource Connection","Day Care Connection (Toronto) Inc.","184 Main St","416-690-0102"
"43.7135","-79.3268","Flemingdon Park School Age and Family Centre","Family Day Care Services","150 Grenoble Dr","416-429-6194"
"43.7022","-79.421","Forest Hill Library","Macaulay Child Development Centre","700 Eglinton Ave W","416-783-7298"
"43.6036","-79.5382","Franklin Horner","Lakeshore Area Multi-Services Project (Lamp) Inc.","432 Horner Ave","416-252-6471"
"43.7574","-79.1935","Galloway Satellite","East Scarborough Boys' and Girls' Club","100 Galloway Rd","416-281-0262"
"43.6719","-79.3742","Gerrard Resource Centre","Ryerson University Early Learning Centre","525 Bloor St E","416-972-1319"
"43.6595","-79.3793","Gerrard Resource Centre","Ryerson University Early Learning Centre","43 Gerrard St E","416-972-1319"
"43.824","-79.2784","Goldhawk Community Centre","Malvern Family Resource Centre","295 Alton Towers Cir","416-281-1376"
"43.7636","-79.2172","Golf Road Jr Public School","Family Day Care Services","730 Scarborough Golf Club Rd","416-438-1800"
"43.6652","-79.4995","Gooch Family Resource Program at Dundas West","College-Montrose Children's Place","3735 Dundas St W","416-358-0031"
"43.6675","-79.4985","Gooch Family Resource Program at Lambton","College-Montrose Children's Place","50 Bernice Cres","416-358-0031"
"43.7468","-79.1996","Guildwood Library Satellite","East Scarborough Boys' and Girls' Club","123 Guildwood Pky","416-282-7284"
"43.7455","-79.5894","Highfield Community Enrichment Project","George Hull Centre for Children and Families","85 Mount Olive Dr","416-394-6150"
"43.7455","-79.5894","Highfield Community Enrichment Project","Braeburn Neighbourhood Place Incorporated","85 Mount Olive Dr","416-745-3113"
"43.79","-79.1754","Highland Creek Library Satellite","East Scarborough Boys' and Girls' Club","3550 Ellesmere Rd","416-282-7284"
"43.6495","-79.5301","Islington Village Parent and Preschool Drop-In","George Hull Centre for Children and Families","25 Burnhamthorpe Rd","416-626-0215"
"43.7568","-79.5173","Jane Finch Community and Family Centre - Main Site","Jane/Finch Community and Family Centre","1911 Finch Ave W","416-663-2733 x 264"
"43.6985","-79.5021","Jane Street Hub","Macaulay Child Development Centre","1541 Jane St","416-645-7575 x 6"
"43.6118","-79.4946","John English Drop-In","Lakeshore Area Multi-Services Project (Lamp) Inc.","95 Mimico Ave","416-252-6471"
"43.7097","-79.464","Joyce Public School","Macaulay Child Development Centre","26 Joyce Pky","416-783-7298"
"43.7292","-79.4826","Kids' Place Parent Child Drop-In","Northwood Neighbourhood Services","2801 Keele St","416-398-0030"
"43.6856","-79.3227","Kimbourne Family Resource Program","East End Child/Parent Development Centre of Metro Toronto","200 Wolverleigh Blvd","416-469-0495"
"43.7625","-79.1954","Kognaasawin Drop-In","Native Child and Family Services of Toronto","156A Galloway Rd","416-969-8510"
"43.6035","-79.5036","Lakeshore Area Multi-Services Project inc. (Lamp) - Main Site","Lakeshore Area Multi-Services Project (Lamp) Inc.","185 Fifth St","416-252-6471"
"43.6381","-79.421","Liberty Littles","College-Montrose Children's Place","25 Liberty St","416-532-9485"
"43.7248","-79.4019","Locke Library","Macaulay Child Development Centre","3083 Yonge St","416-783-7298"
"43.5955","-79.5274","Long Branch Drop-In","Lakeshore Area Multi-Services Project (Lamp) Inc.","3381 Lake Shore Blvd W","416-252-6471"
"43.6948","-79.4557","Macaulay Child Development Centre","Macaulay Child Development Centre","2010 Eglinton Ave W","416-653-3270"
"43.8079","-79.2196","Malvern Family Resource Centre","Malvern Family Resource Centre","1321 Neilson Rd","416-284-4184"
"43.8182","-79.2055","Malvern Family Resource Centre - Main Site","Malvern Family Resource Centre","90 Littles Rd","416-284-4184"
"43.8085","-79.2166","Malvern Library","Malvern Family Resource Centre","30 Sewells Rd","416-281-1376"
"43.7969","-79.2096","Malvern Resource Centre","Malvern Family Resource Centre","95 Murison Blvd","416-281-1376"
"43.696","-79.4474","Maria A Shchuka Library","Macaulay Child Development Centre","1745 Eglinton Ave W","416-783-7298"
"43.8143","-79.2185","Mary Shadd Public School","Malvern Family Resource Centre","135 Hupfield Trail","416-281-1376"
"43.7989","-79.3583","McNicoll Main Site","Adventure Place","155 McNicoll Ave","416-494-1579 x 301"
"43.7476","-79.2804","Mcgregor Park Library","Family Day Care Services","2231 Lawrence Ave E","416-438-1800"
"43.8296","-79.2748","Miliken Park Community Recreation Centre","Malvern Family Resource Centre","4325 Mccowan Rd","416-281-1376"
"43.6147","-79.4939","Mimico Library","Lakeshore Area Multi-Services Project (Lamp) Inc.","47 Station Rd","416-252-6471"
"43.7746","-79.4087","Mitchell Field Satellite","Adventure Place","89 Church Ave","416-494-1579 x 301"
"43.6407","-79.4334","More Than Child's Play","More Than Child's Play","220 Cowan Ave","416-516-3917"
"43.7864","-79.1946","Mornelle Family Resource Centre","East Scarborough Boys' and Girls' Club","110 Mornelle Crt","416-287-3578"
"43.6822","-79.4247","Mothercraft West","Canadian Mothercraft Society","646 St Clair Ave W","416-920-3515 x 100"
"43.6866","-79.4884","Mount Dennis Library","Macaulay Child Development Centre","1123 Weston Rd","416-783-7298"
"43.8138","-79.2254","Neilson House Satellite","Malvern Family Resource Centre","1575 Neilson Rd","416-281-1376"
"43.6865","-79.4384","Oakwood Library Satellite","Canadian Mothercraft Society","341 Oakwood Ave","416-920-3515 x 100"
"43.6613","-79.3848","Ontario Aboriginal EarlyON Centre","Native Child and Family Services of Toronto","30 College St","416-969-8510"
"43.7161","-79.4315","Our Lady of Assumption School","Macaulay Child Development Centre","125 Glenmount Ave","416-783-7298"
"43.6585","-79.3645","Parents for Better Beginnings (Regent)","Regent Park Community Health Centre","38 Regent St","416-362-0805"
"43.6579","-79.3619","Parents for Better Beginnings (Shuter)","Regent Park Community Health Centre","402 Shuter St","416-362-0805"
"43.6641","-79.3624","Parents for Better Beginnings (Spruce)","Regent Park Community Health Centre","101 Spruce St","416-362-0805"
"43.6398","-79.4464","Parkdale Community Health Centre Satellite","Earlscourt-Creche Child Development Institute","27 Roncesvalles Ave","416-762-3700"
"43.7753","-79.3409","Parkway Forest Satellite","Family Day Care Services","121 Parkway Forest Dr","416-496-2601"
"43.757","-79.3126","Parkway Mall Satellite","Family Day Care Services","85 Ellesmere Rd","416-438-1800"
"43.6624","-79.4393","Pauline Public School Satellite","Davenport-Perth Neighbourhood & Community Health Centre","100 Pauline Ave","416-588-3577"
"43.766","-79.3937","People's Church Satellite","Adventure Place","374 Sheppard Ave E","416-494-1579 x 301"
"43.8246","-79.2902","Port Royal","Malvern Family Resource Centre","408 Port Royal Trail","416-281-1376"
"43.7796","-79.1405","Port Union Library Satellite","East Scarborough Boys' and Girls' Club","5450 Lawrence Ave E","416-282-7284"
"43.7462","-79.5817","Rexdale Community Hub","Braeburn Neighbourhood Place Incorporated","21 Panorama Crt","416-745-3113"
"43.7462","-79.5817","Rexdale Hub","Delta Family Resource Centre","21 Panorama Crt","416-747-1172"
"43.6694","-79.3337","River Oak Parent - Child Centre","River Oak Parent-Child Centre Inc.","953 Gerrard St E","416-463-5399"
"43.65","-79.3686","River Oak Parent - Child Centre","River Oak Parent-Child Centre Inc.","173 Front St E","416-463-5399"
"43.6727","-79.3209","River Oak Parent - Child Centre","River Oak Parent-Child Centre Inc.","1470 Gerrard St E","416-463-5399"
"43.6658","-79.3519","S.E.A.S. Centre - East Chinatown Centre Satellite","Massey Centre for Women","606 Gerrard St E","416-466-8842"
"43.6809","-79.4779","Santa Maria Catholic School","Macaulay Child Development Centre","25 Avon Ave","416-783-7298"
"43.6517","-79.4051","Scadding Court EarlyON Centre","Scadding Court Community Centre Incorporated","707 Dundas St W","416-392-0335"
"43.7985","-79.3186","Scarborough Agincourt EarlyON Centre","West Scarborough Neighbourhood Community Centre","2900 Warden Ave","416-491-1466"
"43.7598","-79.2264","Scarborough Centre EarlyON Child and Family Centre","Family Day Care Services","3478 Lawrence Ave E","416-438-1800"
"43.7666","-79.1952","Scarborough Centre for Healthy Communities","Scarborough Centre for Healthy Communities","4110 Lawrence Ave E","416-847-4141"
"43.7727","-79.2569","Scarborough Civic Centre Library","Family Day Care Services","156 Borough Dr","416-438-1800"
"43.7343","-79.2575","Scarborough Southwest EarlyON Centre (Main Site)","West Scarborough Neighbourhood Community Centre","2555 Eglinton Ave E","416-266-8289"
"43.7006","-79.5255","Scarlett Manor Satellite","George Hull Centre for Children and Families","1025 Scarlett Rd","416-626-0215"
"43.6036","-79.5","Second Street Drop-In","Lakeshore Area Multi-Services Project (Lamp) Inc.","71 Second St","416-252-6471"
"43.7424","-79.4961","Sickkids Centre for Community Mental Health EarlyON Main Site","SickKids Centre for Community Mental Health","1645 Sheppard Ave W","416-633-4035"
"43.6591","-79.3478","South Riverdale Child Parent Centre","South Riverdale Child-Parent Centre","765 Queen St E","416-469-3776"
"43.6714","-79.4159","St Albans Boys and Girls Satellite","College-Montrose Children's Place","843 Palmerston Ave","416-534-8461"
"43.7025","-79.5008","St Bernard Catholic School","Macaulay Child Development Centre","12 Duckworth St","416-783-7298"
"43.7132","-79.4515","St Charles School","Macaulay Child Development Centre","50 Claver Ave","416-783-7298"
"43.6257","-79.5012","St Louis","Lakeshore Area Multi-Services Project (Lamp) Inc.","11 Morgan Ave","416-252-6471"
"43.7919","-79.4335","St Theo's Satellite","Adventure Place","111 Cactus Ave","416-494-1579 x 301"
